display_item,reader_role,output_files,source_data,regeneration_or_check_script,claim_boundary
Fig. 1,Locked-template workflow schematic,figures/main/fig1_workflow.png; figures/main/fig1_workflow.pdf; figures/main/fig1_workflow.svg,scripts/plot_main_workflow_figure.py,scripts/plot_main_workflow_figure.py,Schematic workflow; no numerical claim beyond the described template-transfer route.
Fig. 2,Single-particle calibration and sensitivity,figures/apt_redesign/fig2_single_pebble_template_validation.png; figures/apt_redesign/fig2_single_pebble_template_validation.pdf; figures/apt_redesign/fig2_single_pebble_template_validation.svg,data/figure_source/fig2_single_pebble_literature_targets.csv; data/figure_source/fig2_single_pebble_model_points.csv; data/figure_source/fig2_single_pebble_rate_metrics.csv; data/figure_source/fig2_single_pebble_resolution_metrics.csv,scripts/build_apt_redesigned_data_figures.py,Template is a calibrated finite-sensitivity representation for the reported event-sequence calculations.
Fig. 3,Entry-state loading before fracture,figures/apt_redesign/fig3_entry_state_validation.png; figures/apt_redesign/fig3_entry_state_validation.pdf; figures/apt_redesign/fig3_entry_state_validation.svg,data/figure_source/fig3_entry_validation_acceptance_summary.csv; data/figure_source/fig3_entry_validation_native_summary.csv; data/figure_source/fig3_entry_validation_relaxation_series.csv; data/figure_source/fig3_entry_validation_stiffness_screen.csv,scripts/build_apt_redesigned_data_figures.py,Entry-state validation applies to the selected 100-parent-particle entry protocol.
Fig. 4,Pilot fracture-event sequence,figures/apt_redesign/fig4_pilot_fracture_event_sequence.png; figures/apt_redesign/fig4_pilot_fracture_event_sequence.pdf; figures/apt_redesign/fig4_pilot_fracture_event_sequence.svg,data/figure_source/fig4_fracture_sequence_pilot_events.csv; data/figure_source/fig4_fracture_sequence_pilot_native_network.csv; data/figure_source/fig4_fracture_sequence_pilot_thermo.csv,scripts/build_apt_redesigned_data_figures.py,Event-sequence evidence from one pilot bed window.
Fig. 5,Mechanism-variable state space,figures/pb007/pb007_replicate_comparison.png; figures/pb007/pb007_replicate_comparison.pdf; figures/pb007/pb007_replicate_comparison.svg,data/processed/pb007_replicate_comparison_source_data.csv; tables/pb007_macro_topology_event_metrics.csv; tables/pb007_event_aligned_topology.csv; tables/pb007_mechanism_indices.csv; tables/pb007_strong_force_tail_state_metrics.csv,scripts/build_pb007_replicate_comparison.py,Mechanism variables are finite-window descriptors including the nominal and 0.25x-strength 200-parent-particle intact endpoints.
Fig. 6,Strength-dependent fracture response,figures/pb007/pb007_material_strength_response.png; figures/pb007/pb007_material_strength_response.pdf; figures/pb007/pb007_material_strength_response.svg,data/figure_source/pb007_material_strength_response.csv,scripts/build_pb007_material_strength_response_progress.py,Strength dependence is supported across two accepted cracking geometries and six completed matrix rows.
Table 1,Model and bonded-template parameters,manuscript/repaired_full_submission_draft.md,manuscript/repaired_full_submission_draft.md; tables/pb007_material_parameter_matrix_20260704.csv,scripts/check_repaired_full_manuscript_consistency.py,Parameters describe the current calculation protocol.
Table 2,Fracture-sequence results,manuscript/repaired_full_submission_draft.md,tables/pb007_macro_topology_event_metrics.csv; tables/pb007_event_aligned_topology.csv,scripts/check_repaired_full_manuscript_consistency.py,Fracture sequences are finite-window evidence with a 200-parent-particle intact comparison.
Table 3,Particulate breakage state-variable synthesis,manuscript/repaired_full_submission_draft.md,tables/pb007_macro_topology_event_metrics.csv; tables/pb007_event_aligned_topology.csv; tables/pb007_mechanism_indices.csv; tables/pb007_mechanism_variable_separation.csv; tables/pb007_strong_force_tail_state_metrics.csv; tables/pb007_strong_force_retention.csv; data/figure_source/pb007_mechanism_variable_separation.csv,scripts/summarize_pb007_mechanism_metrics.py; scripts/summarize_pb007_mechanism_variable_separation.py; scripts/summarize_pb007_strong_force_retention.py,State variables describe finite mechanism windows; probability estimation requires larger ensembles.
Table 4,Strength-matrix endpoint summary,manuscript/repaired_full_submission_draft.md,tables/pb007_material_parameter_response.csv; tables/pb007_material_strength_matrix_summary.csv,scripts/summarize_pb007_material_parameter_response.py,Endpoint summary is source-backed by completed material-response rows.
