block,metric,value,units,method,notes
literature_target,target_diameter_mm,1.0,mm,script input,Default is the current 1.0 mm SP-002 mother particle.
literature_target,mean_crush_load_N,17.364079,N,log-log power fit to size_effect_reference rows,Fit slope=1.344; log-space RMSE=0.213.
literature_target,std_crush_load_N,3.465658,N,target mean times Zhao probability-reference reported CV,Mean reported CV=0.200; Weibull-m prior=3.235.
literature_target,target_window_N,15-22,N,explicit input or +/-15% default,Use as the first acceptance window for mean force before morphology checks.
model_orientation_pilot,peak_top_force_mean_N,22.695539,N,mean of sp002_cal1_orientation_summary.csv peak_top_force_N,n=5 orientation pilots.
model_orientation_pilot,peak_top_force_std_N,5.934766,N,sample standard deviation,Captures orientation/weak-plane scatter only.
model_weakplane_candidates,peak_top_force_mean_N,18.637057,N,mean of candidate/weak-plane rows in model summary,n=1 current weak-plane candidates.
model_weakplane_candidates,peak_top_force_std_N,0.0,N,sample standard deviation,Useful for comparing the tuned weak-plane row with the orientation pilot.
strength_multiplier,suggested_mean_multiplier,0.765088,relative_to_orientation_pilot_mean,literature target mean / orientation pilot mean,Apply as a sample-level multiplier to both bulk and weak-plane strengths.
strength_multiplier,suggested_range_multiplier,0.660923-0.969354,relative_to_orientation_pilot_mean,target force window / orientation pilot mean,Do not overwrite the current CAL1 input; use this for future ensemble case generation.
strength_multiplier,weibull_p10_p90_multiplier,0.425826-1.10486,relative_to_current_strengths,unit-mean Weibull quantiles using the Zhao m prior,Use as the untruncated stochastic spread estimate before the first acceptance window is imposed.
strength_multiplier,truncated_weibull_probability_window,0.353911-0.778634,cdf_probability,CDF values of suggested multiplier range under the unit-mean Weibull prior,The sampling plan uses Latin quantiles inside this probability window to avoid duplicate clipped samples.
