item,manuscript_display,output_files,source_data_files,generation_or_audit_scripts,evidence_role,notes
Fig1,Locked-template workflow,figures/main/fig1_workflow.pdf;figures/main/fig1_workflow.png,manuscript/journal_of_nuclear_materials_submission_draft.md;docs/jnm_force_transmission_validation_audit_20260612.md,scripts/plot_main_workflow_figure.py;scripts/build_journal_of_nuclear_materials_latex.py,conceptual_workflow,Schematic figure; source evidence is the accepted corrected-route workflow and force-transmission audit.
Fig2,Single-pebble calibration evidence,figures/sp002/single_pebble_calibration_evidence.pdf;figures/sp002/single_pebble_calibration_evidence.png,tables/single_pebble_calibration_target_evidence_summary.csv;tables/single_pebble_model_ensemble_evidence_summary.csv;tables/sp002_conditioned_ensemble_completed_summary.csv,scripts/plot_single_pebble_calibration_evidence.py,calibration_evidence,Supports the current weak-plane calibration candidate and conservative load-window interpretation.
Fig3,Subparticle-resolution and loading-rate sensitivity,figures/sp002/jnm_single_pebble_validation.pdf;figures/sp002/jnm_single_pebble_validation.png,tables/jnm_single_pebble_resolution_summary.csv;tables/jnm_single_pebble_rate_summary.csv,scripts/build_jnm_single_pebble_validation.py,single_pebble_sensitivity,Supports onset and split-topology robustness over tested resolution and rate windows.
Fig4,Corrected pre-damage force-transmission validation,figures/pb007/pb007_acceptance_gate_validation.pdf;figures/pb007/pb007_acceptance_gate_validation.png,tables/pb007_PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_acceptance_summary.csv;tables/pb007_PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_native_summary.csv,scripts/plot_pb007_acceptance_gate_validation.py;scripts/summarize_pb007_loadpath_validation.py,acceptance_gate_evidence,Supports zero-pre-damage force-transmission and force-balance gates.
Fig5,Corrected fracture-event sequence and native force-network evolution,figures/pb007/pb007_corrected_fracture_sequence.pdf;figures/pb007/pb007_corrected_fracture_sequence.png,data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_thermo.csv;data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_breakage_events.csv;data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_native_force_network_series.csv;docs/jnm_fig5_mechanism_figure_qa_20260613.md,scripts/plot_pb007_corrected_fracture_sequence.py;scripts/analyze_pb007_bond_event_sequence.py;scripts/analyze_pb007_native_force_network_series.py,event_sequence_evidence,Supports localized event timing and force-network reorganization in the corrected pilot.
Fig6,Corrected-bed replicate comparison,figures/pb007/pb007_replicate_comparison.pdf;figures/pb007/pb007_replicate_comparison.png,data/processed/pb007_replicate_comparison_source_data.csv;tables/pb007_macro_topology_event_metrics.csv;data/processed/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_thermo.csv;data/processed/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_bond_series.csv;data/processed/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_breakage_events.csv;data/processed/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_native_force_network_series.csv;docs/jnm_fig6_mechanism_figure_qa_20260612.md,scripts/build_pb007_replicate_comparison.py;scripts/summarize_pb007_mechanism_metrics.py,replicate_and_strength_audit,"Supports pilot, intact independent-bed, delayed third-bed and 0.5x/0.25x strength-window comparisons, including endpoint mechanism-fingerprint visualization."
Table1,Corrected fracture-sequence evidence,manuscript/journal_of_nuclear_materials_submission_draft.md;manuscript/journal_of_nuclear_materials_submission.tex,tables/pb007_macro_topology_event_metrics.csv;tables/jnm_material_degradation_mechanism_indices.csv;tables/pb007_event_aligned_topology.csv;docs/jnm_event_topology_mechanism_audit_20260613.md;data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_breakage_events.csv;data/processed/PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02_breakage_events.csv;data/processed/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_breakage_events.csv,scripts/summarize_pb007_mechanism_metrics.py;scripts/analyze_pb007_bond_event_sequence.py;scripts/summarize_jnm_material_degradation_indices.py;scripts/summarize_pb007_event_aligned_topology.py;scripts/build_jnm_event_topology_mechanism_audit.py,summary_table_evidence,"Supports corrected pilot, intact independent-bed and delayed third-bed event-sequence comparison plus bounded material-degradation and event-aligned topology mechanism indices."
Table2,Material-degradation state-variable synthesis,manuscript/journal_of_nuclear_materials_submission_draft.md;manuscript/journal_of_nuclear_materials_submission.tex,tables/pb007_macro_topology_event_metrics.csv;tables/jnm_material_degradation_mechanism_indices.csv;tables/pb007_event_aligned_topology.csv;docs/jnm_event_topology_mechanism_audit_20260613.md;docs/jnm_material_degradation_state_variables_audit_20260613.md,scripts/summarize_pb007_mechanism_metrics.py;scripts/summarize_jnm_material_degradation_indices.py;scripts/summarize_pb007_event_aligned_topology.py;scripts/build_jnm_event_topology_mechanism_audit.py;scripts/check_jnm_material_degradation_state_variables.py,mechanism_synthesis_table,"Links event chronology, damaged-pebble identity, native-force topology, macro response and conservative fusion-material interpretation."
Table3,Model and bonded-template parameters,manuscript/journal_of_nuclear_materials_submission_draft.md;manuscript/journal_of_nuclear_materials_submission.tex,manuscript/journal_of_nuclear_materials_submission_draft.md;docs/single_pebble_calibration_dossier.md;docs/jnm_submission_readiness_audit_20260612.md;docs/jnm_model_parameter_consistency_audit_20260613.md;docs/jnm_active_run_provenance_capsule_20260613.md,scripts/build_journal_of_nuclear_materials_latex.py;scripts/check_jnm_manuscript_integrity.py;scripts/check_jnm_model_parameter_consistency.py;scripts/check_jnm_active_run_provenance.py,method_parameter_table,Lists parameters used in accepted single-pebble and corrected-bed calculations and links them to the active corrected-bed runtime provenance.
GraphicalAbstract,Graphical abstract,figures/main/journal_of_nuclear_materials_graphical_abstract.png;figures/main/journal_of_nuclear_materials_graphical_abstract.pdf;figures/main/journal_of_nuclear_materials_graphical_abstract.tiff,tables/pb007_macro_topology_event_metrics.csv;data/processed/pb007_replicate_comparison_source_data.csv;manuscript/journal_of_nuclear_materials_submission_draft.md,scripts/plot_jnm_graphical_abstract.py,submission_visual_summary,Separate Elsevier graphical abstract; uses only manuscript-supported claims.
PDFVisualQA,Main manuscript PDF visual QA,docs/pdf_visual_qa/jnm_main_20260612/contact_sheet.png;docs/pdf_visual_qa/jnm_main_20260612/page-01.png;docs/pdf_visual_qa/jnm_main_20260612/page-02.png;docs/pdf_visual_qa/jnm_main_20260612/page-03.png;docs/pdf_visual_qa/jnm_main_20260612/page-04.png;docs/pdf_visual_qa/jnm_main_20260612/page-05.png;docs/pdf_visual_qa/jnm_main_20260612/page-06.png;docs/pdf_visual_qa/jnm_main_20260612/page-07.png;docs/pdf_visual_qa/jnm_main_20260612/page-08.png;docs/pdf_visual_qa/jnm_main_20260612/page-09.png;docs/pdf_visual_qa/jnm_main_20260612/page-10.png,docs/jnm_pdf_visual_qa_20260612.md;manuscript/journal_of_nuclear_materials_submission.pdf;manuscript/journal_of_nuclear_materials_submission.log;submission_packages/journal_of_nuclear_materials_flat_source/journal_of_nuclear_materials_submission.log,scripts/render_jnm_pdf_visual_qa.py;scripts/check_jnm_pdf_visual_qa.py;scripts/build_journal_of_nuclear_materials_latex.py,layout_and_metadata_qa,Records page-render visual QA and verifies that PDF-string metadata warnings and unresolved citations are absent from the current compiled manuscript logs.
JNMScopeAudit,Official JNM scope-alignment audit,docs/jnm_official_scope_alignment_audit_20260613.md,manuscript/journal_of_nuclear_materials_submission_draft.md;figures/main/journal_of_nuclear_materials_graphical_abstract.png,scripts/check_jnm_official_scope_alignment.py,scope_and_submission_fit_qa,Audits manuscript framing against the official Journal of Nuclear Materials scope and Elsevier graphical-abstract guidance so the numerical study remains framed as nuclear-materials degradation rather than generic DEM or reactor-design work.
ScientificStorylineAudit,JNM scientific storyline audit,docs/jnm_scientific_storyline_audit_20260613.md,manuscript/journal_of_nuclear_materials_submission_draft.md;data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_breakage_events.csv;data/processed/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_native_force_network_series.csv;tables/pb007_macro_topology_event_metrics.csv;tables/jnm_material_degradation_mechanism_indices.csv;tables/pb007_event_aligned_topology.csv;docs/jnm_event_topology_mechanism_audit_20260613.md,scripts/check_jnm_scientific_storyline.py;scripts/build_jnm_event_topology_mechanism_audit.py,scientific_storyline_qa,"Verifies that the manuscript, event sequence, macro response, native-force topology and mechanism indices support the same bounded JNM materials-degradation argument."
